Date,JPY,Daily_Returns_Percentage,Weekly_Returns_Percentage,DR_Classes,WR_Classes,News
2016-01-02,120.498299,-0.10309435078281126,-0.1976524298261353,NS,NS,"skywriters rose parade plead anybody trump/,,,/heart doctors listening clues future stethoscopes/,,,/man drove car french troops jihadi propaganda computer prosecutor/,,,/chicago distrust toward mayor turned personal/,,,/donald trump featured new jihadist recruitment video/,,,/putin names united states among threats new russian security strategy/,,,/shi ite muslims worldwide decry execution saudi cleric/,,,/bernie sanders raises <NUM> million latest fundraising quarter/,,,/iowa fans boo stanford marching band rose bowl halftime show/,,,/saudi arabia executes prominent shiite cleric <NUM> others <NUM> cities"
2016-01-03,120.2663,0.19253300828752629,-0.009730189196346828,PS,NS,"explosions gunshots indian consulate afghan city mazar/,,,/likely <NUM> republican nominee/,,,/decluttering guru marie kondo back life-changing magic/,,,/gop consultant day/,,,/heckler disrupts hillary clinton town hall bill clinton sexual history/,,,/one year two races inside republican party bizarre tumultuous <NUM>/,,,/hollowing middle class/,,,/israelis comparing tel aviv shooting attacks paris/,,,/star wars force awakens hurtles toward becoming biggest domestic film ever/,,,/steelers steal playoff spot jets fall rex ryan patriots problem – nfl week <NUM>"
2016-01-04,119.515299,0.6244484115666751,0.7080825678331877,PS,PS,"dead college football player leaves clues concussions toll brain/,,,/hillary clinton miscast figure <NUM> political stage/,,,/oregon standoff america double standards race religion/,,,/waka flocka nonsense bill cosby/,,,/oregon occupiers land dispute explained <NUM> maps/,,,/putin anti-obama propaganda ugly desperate/,,,/dollar hovers near two-week high eyes policy divergence support <NUM>/,,,/real sack coach benitez appoint zidane/,,,/republican presidential hopefuls tread lightly oregon militia news/,,,/mccarthyism may soon replaced trumpism"
2016-01-05,119.1529,0.3032239412294757,1.0856661044999214,PS,PS,"exclusive verizon launches auction sell data centers sources/,,,/va. sen. creigh deeds sues state others <NUM> million son suicide/,,,/conservation groups denounce oregon occupiers saying republican teddy roosevelt envisioned/,,,/potential bidders size swiss travel group kuoni/,,,/presidential candidate sanders takes aim wall street clinton speech/,,,/yahoo must face class action text messages u.s. judge/,,,/obama administration asks top court reject texas abortion law/,,,/obama responsible anger/,,,/christie hits back rubio slime way white house/,,,/president obama amazingly emotional speech gun control"
2016-01-06,118.6248,0.4432120409994269,1.5446612553391077,PS,PS,"university fires professor says sandy hook hoax/,,,/valeant appoint interim ceo pearson remains hospitalized source/,,,/l.a. prosecutor declines charge cosby allegations <NUM> women/,,,/white house evidence support north korean hydrogen bomb claim/,,,/judge rules officer william porter must testify officers freddie gray case/,,,/north korea test draws threat sanctions despite h-bomb doubts/,,,/twitter 10k twitterati say save war peace/,,,/america duped climate change/,,,/congress sends bill gut obamacare certain veto/,,,/gop survive civil war"
2016-01-07,117.8455,0.6569452593386842,2.1006993192893617,PS,PS,"<NUM> myths china economy/,,,/gabrielle giffords longer wait congress gun lobby grip act/,,,/microbeads soon banned toothpaste soaps/,,,/renault-nissan alliance plans self-driving cars next four years/,,,/transcanada sues u.s. keystone xl pipeline rejection/,,,/<NUM> starve death besieged syrian town medical charity says/,,,/obama tries bridge divide guns seems wide ever/,,,/united states shouldnâ€™t take sides sunni-shiite struggle/,,,/paris police kill man armed meat cleaver charlie hebdo anniversary/,,,/pro life surrogate mother stand reducing triplets"
2016-01-08,117.4376,0.34613116326036675,2.4395593075592643,PS,PS,"democrats urge obama end roundup central american migrants/,,,/exclusive republican politicians jumped gun terrorism suspect arrest sources/,,,/notorious mexican drug lord el chapo recaptured months brazen escape/,,,/republican cruz pushes back questions u.s. citizenship/,,,/crash rates self-driving cars less conventional car study/,,,/exclusive u.s. considers ending program lures cuban doctors defect/,,,/philadelphia police man tried kill officer pledged allegiance islamic state/,,,/dreadful week stocks look reason bounce/,,,/forgotten way african americans stayed safe racist america/,,,/girls children books"
2016-01-09,117.45299999999999,-0.013113347002999376,2.5272547623265638,NS,PL,"mexican officials chipped away el chapo network recapture/,,,/florida couple kept adopted daughter inside glorified cage police say/,,,/ted cruz spanks daughter republicans a-ok/,,,/anti-migrant protest turns violent german welcome cools/,,,/drug lord guzman faces extradition u.s. lapses lead capture/,,,/juniper networks drop code tied national security agency/,,,/muslim woman gets kicked trump rally — protesting silently/,,,/locked tight duel iowa trump stresses need win state/,,,/powerball jackpot jumps <NUM> million fueling american fantasies/,,,/texas barbecue joint rewarding customers bring guns"
2016-01-10,116.876901,0.49049321856401207,2.8182450112791457,PS,PL,"cuban mexican. rubio cruz connect latino voters/,,,/new taliban leader whose shadow hangs afghan peace talks/,,,/ever slowly euro zone economy awakes/,,,/rubio absolutely stands <NUM> florida proposal give in-state tuition undocumented immigrants/,,,/bombs laid islamic state hamper iraqi troops ramadi victory/,,,/scenario could become nightmare hillary clinton/,,,/jackpot-rigging scandal forgotten powerball fever sweeps united states/,,,/u.s. flies b-52 south korea north nuclear test/,,,/wall street faces profit recession earnings season begins/,,,/white house invites syrian refugee obama state union address"
2016-01-11,117.6596,-0.6696780914818987,1.5526874095006065,NS,PS,"imagine congress/,,,/white supremacists campaign calls trump say need muslims/,,,/slain virginia student scent found suspect apartment witness/,,,/carmakers rush put latest tech lower-priced models/,,,/clinton seeks surcharge tax wealthiest tier americans/,,,/smart gun law passes n.j. assembly awaits possible christie veto/,,,/u.n. official says starvation exists besieged syrian towns/,,,/u.s. mexican efforts battle gun trafficking falter gao/,,,/underestimate power trump rage-fueled rise/,,,/exclusive u.s. state attorneys general joining probe health insurer mergers"
