Date,EUR,JPY,GBP,CNY,BTC
2015-12-25,0.911393,120.309801,0.672607,6.471147,0.0021929728
2015-12-26,0.911393,120.260601,0.672607,6.468487,0.0024032973
2015-12-27,0.911448,120.254599,0.669954,6.46809,0.0023586686
2015-12-28,0.911515,120.367601,0.67201,6.483531,0.0023757766
2015-12-29,0.915271,120.460701,0.674841,6.483879,0.0023288526
2015-12-30,0.915276,120.485899,0.675183,6.488565,0.0023415201
2015-12-31,0.920961,120.3742,0.678607,6.49376,0.0023245218
2016-01-01,0.920961,120.3742,0.678607,6.49376,0.0023245218
2016-01-02,0.920862,120.498299,0.677491,6.504246,0.00230479
2016-01-03,0.920289,120.2663,0.678475,6.502476,0.0023312414
2016-01-04,0.923285,119.515299,0.679566,6.532516,0.0022988242
2016-01-05,0.930028,119.1529,0.68132,6.522249,0.0023133529
2016-01-06,0.92771,118.6248,0.683499,6.541367,0.002318432
2016-01-07,0.915366,117.8455,0.683951,6.5716,0.0021923574
2016-01-08,0.915336,117.4376,0.688751,6.585147,0.0022004016
2016-01-09,0.915399,117.453,0.688751,6.586201,0.0022173146
2016-01-10,0.914814,116.876901,0.6889,6.58321,0.002236416
2016-01-11,0.920698,117.6596,0.687321,6.572276,0.0022300422
2016-01-12,0.921442,117.6426,0.692697,6.570078,0.0022423133
2016-01-13,0.919302,117.6693,0.69393,6.576244,0.0023116791
2016-01-14,0.920255,118.1295,0.693662,6.586902,0.0023247326
2016-01-15,0.916278,117.143001,0.701436,6.581306,0.0027332785
2016-01-16,0.916268,117.086201,0.701436,6.581094,0.0026153295
2016-01-17,0.916103,116.8787,0.701441,6.575486,0.002589318543
2016-01-18,0.918217,117.2976,0.701969,6.57013,0.002594141391
2016-01-19,0.916607,117.548999,0.706178,6.567754,0.002630637456
2016-01-20,0.918222,117.096101,0.704754,6.578702,0.002414176042
2016-01-21,0.920069,117.620499,0.703261,6.580105,0.002426477725
2016-01-22,0.926152,118.381875,0.700919,6.579358,0.002648739994
2016-01-23,0.926152,118.63325,0.700919,6.579465,0.002563372989
2016-01-24,0.926321,118.7572,0.700737,6.579818,0.002482381299
2016-01-25,0.921652,118.424001,0.701957,6.57083,0.002545390679
2016-01-26,0.920335,118.454875,0.696926,6.567951,0.002539082833
2016-01-27,0.917404,118.543999,0.702039,6.570292,0.002534590828
2016-01-28,0.914078,118.7306,0.696476,6.568419,0.00263786818
2016-01-29,0.923297,120.649401,0.701976,6.576172,0.002625981461
2016-01-30,0.923297,120.965101,0.702,6.575917,0.002652843583
2016-01-31,0.923322,121.2393,0.702206,6.576546,0.002670291142
2016-02-01,0.918241,121.0339,0.693213,6.57627,0.002697206234
2016-02-02,0.915409,120.0828,0.693864,6.580633,0.002678674271
2016-02-03,0.902082,118.5587,0.685419,6.577441,0.002720274204
2016-02-04,0.892679,117.3245,0.685892,6.568651,0.002572453143
2016-02-05,0.896115,116.9879,0.689551,6.574537,0.002591815048
2016-02-06,0.896115,116.8519,0.689551,6.574047,0.002666403582
2016-02-07,0.896687,116.9387,0.689762,6.576519,0.002663059109
2016-02-08,0.892962,115.8644,0.692938,6.573759,0.002693755068
2016-02-09,0.885833,115.4185,0.690966,6.556172,0.002674461831
2016-02-10,0.886449,113.811901,0.688169,6.573877,0.002636588465
2016-02-11,0.883493,112.904799,0.690543,6.573538,0.00265512572
2016-02-12,0.888439,113.074,0.689458,6.565454,0.002614365415
2016-02-13,0.888429,113.1228,0.689458,6.565472,0.002564135438
2016-02-14,0.889174,113.3911,0.689483,6.55855,0.002472628008
2016-02-15,0.896134,114.271799,0.692762,6.506561,0.002510260691
2016-02-16,0.897446,114.1122,0.699142,6.518154,0.002457829785
2016-02-17,0.898772,114.126199,0.699782,6.52674,0.002387107709
2016-02-18,0.900208,113.4237,0.697606,6.52052,0.002367502711
2016-02-19,0.898408,112.832699,0.694854,6.52116,0.002385786439
2016-02-20,0.898413,112.670699,0.694179,6.52196,0.00227202501
2016-02-21,0.89912,112.6065,0.699442,6.5231,0.002276193294
2016-02-22,0.906714,112.877,0.706506,6.52279,0.002285850131
2016-02-23,0.907471,112.2268,0.713042,6.52608,0.002376855135
2016-02-24,0.907752,112.159399,0.717757,6.52394,0.002361079958
2016-02-25,0.907138,112.708801,0.716296,6.53196,0.002364317717
2016-02-26,0.914709,113.6765,0.720891,6.53762,0.00234172843
2016-02-27,0.914709,113.8295,0.72082,6.53762,0.002315029169
2016-02-28,0.915162,113.8441,0.721426,6.5392,0.002313326147
2016-02-29,0.919123,112.810201,0.718288,6.54922,0.002287968261
2016-03-01,0.920361,113.8826,0.716524,6.5508,0.002313663339
2016-03-02,0.920163,113.4421,0.710308,6.55189,0.002355801397
2016-03-03,0.913165,113.766499,0.705558,6.53072,0.002379909754
2016-03-04,0.908517,113.7734,0.70274,6.51941,0.002448543851
2016-03-05,0.908622,113.7694,0.702697,6.51941,0.002494300523
2016-03-06,0.909475,113.842301,0.703137,6.51687,0.002448837659
2016-03-07,0.907874,113.469599,0.701059,6.5181,0.002416854174
2016-03-08,0.908353,112.8507,0.703518,6.50766,0.002428209972
2016-03-09,0.909159,113.2517,0.703503,6.51401,0.00242772658
2016-03-10,0.894529,113.099801,0.700025,6.51098,0.002403233791
2016-03-11,0.897031,113.7931,0.695204,6.49827,0.002383761815
2016-03-12,0.89683,113.8033,0.698079,6.4951,0.002433522256
2016-03-13,0.895835,113.7738,0.695417,6.49152,0.002424771465
2016-03-14,0.900629,113.811401,0.699254,6.49101,0.002414805656
2016-03-15,0.900308,113.2941,0.706454,6.51086,0.002406773624
2016-03-16,0.891826,112.877301,0.70184,6.50507,0.002402592878
2016-03-17,0.883735,111.8027,0.690788,6.48961,0.002389754644
2016-03-18,0.887283,111.6228,0.690757,6.47275,0.002451713503
2016-03-19,0.887332,111.516,0.690847,6.47145,0.00246066625
2016-03-20,0.887077,111.471601,0.691361,6.47055,0.002430919349
2016-03-21,0.889553,111.9246,0.695834,6.48109,0.002432835494
2016-03-22,0.891536,112.1711,0.703506,6.49129,0.00240208501
2016-03-23,0.894159,112.3034,0.708296,6.5035,0.002391909605
2016-03-24,0.894574,112.733199,0.706775,6.51362,0.002409557268
2016-03-25,0.895524,113.008499,0.707494,6.5151,0.002404990837
2016-03-26,0.895514,113.083299,0.707494,6.51193,0.002401352442
2016-03-27,0.895867,113.2948,0.70769,6.51787,0.002357545324
2016-03-28,0.893057,113.3736,0.7014,6.50985,0.002365369104
2016-03-29,0.885801,112.8995,0.69505,6.50672,0.002406698323
2016-03-30,0.882426,112.6522,0.695583,6.46979,0.002421143361
2016-03-31,0.878727,112.5143,0.69595,6.45325,0.002403840375
2016-04-01,0.877703,111.803901,0.702744,6.4741,0.002402881536
2016-04-02,0.877703,111.758101,0.702744,6.479017,0.002382807567
2016-04-03,0.877778,111.7293,0.70332,6.481129,0.00238440409
2016-04-04,0.877972,111.391601,0.701036,6.479368,0.002383153961
2016-04-05,0.878509,110.549199,0.706328,6.476559,0.002369825486
2016-04-06,0.877476,109.9548,0.707921,6.479113,0.002369258398
2016-04-07,0.87926,108.6845,0.711536,6.466063,0.002376081414
2016-04-08,0.8773,108.2221,0.707941,6.466148,0.002385399447
2016-04-09,0.8773,108.186,0.707941,6.466248,0.002392768098
2016-04-10,0.876735,108.1721,0.707864,6.463762,0.002374591867
2016-04-11,0.876557,107.969399,0.702751,6.460838,0.002366275837
2016-04-12,0.87834,108.4939,0.701032,6.464766,0.002346850409
2016-04-13,0.886593,109.1073,0.704043,6.476144,0.002354769586
2016-04-14,0.887754,109.311,0.706871,6.480009,0.002354858308
2016-04-15,0.886227,108.8711,0.704004,6.477724,0.00232917808
2016-04-16,0.886227,108.8444,0.704004,6.477285,0.00232052481
2016-04-17,0.88559,108.4468,0.705194,6.47561,0.002337863333
2016-04-18,0.884149,108.847599,0.700579,6.475425,0.00233502467
2016-04-19,0.880511,109.0899,0.694862,6.462458,0.002298470138
2016-04-20,0.88492,109.628999,0.697586,6.469158,0.002260735101
2016-04-21,0.885892,109.3942,0.698431,6.478653,0.002218229409
2016-04-22,0.89089,111.349801,0.694145,6.495925,0.002235211283
2016-04-23,0.89089,111.519701,0.694145,6.49868,0.002209900798
2016-04-24,0.890497,111.6286,0.692184,6.498291,0.002173331913
2016-04-25,0.887502,111.335799,0.690595,6.493659,0.00214570173
2016-04-26,0.885108,111.266999,0.686026,6.494053,0.002138442786
2016-04-27,0.882817,111.4243,0.687897,6.49567,0.002231863874
2016-04-28,0.880903,108.771101,0.684586,6.479235,0.002227141731
2016-04-29,0.87342,106.974501,0.684428,6.477582,0.002198208021
2016-04-30,0.87342,106.578101,0.684428,6.476316,0.002225119823
2016-05-01,0.872856,106.6129,0.685235,6.473837,0.002208456179
2016-05-02,0.867514,106.4004,0.681817,6.475027,0.002248272203
2016-05-03,0.869579,106.750101,0.687595,6.485451,0.002216778799
2016-05-04,0.870447,106.812999,0.689636,6.495644,0.002238794275
2016-05-05,0.876985,107.218101,0.69026,6.503766,0.002227970386
2016-05-06,0.876834,107.120801,0.693019,6.498775,0.002166176028
2016-05-07,0.876834,107.091201,0.693019,6.498676,0.002177174072
2016-05-08,0.877215,107.214399,0.69331,6.499638,0.002177325765
2016-05-09,0.878552,108.1517,0.693958,6.512987,0.00216693645
2016-05-10,0.879172,108.9903,0.692177,6.516888,0.002217924378
2016-05-11,0.875338,108.553099,0.692427,6.498888,0.002211381539
2016-05-12,0.87903,108.937899,0.692249,6.514758,0.002201203178
2016-05-13,0.884388,108.6808,0.696434,6.527841,0.002193631887
2016-05-14,0.884388,108.6899,0.696434,6.530937,0.002194705492
2016-05-15,0.884634,108.5718,0.69652,6.532749,0.002179475444
2016-05-16,0.883873,108.8909,0.694569,6.526489,0.002200437887
2016-05-17,0.884107,108.9186,0.692861,6.525339,0.002209144089
2016-05-18,0.889325,109.531799,0.687725,6.535819,0.00220309932
2016-05-19,0.892629,109.4101,0.687547,6.542139,0.002260551122
2016-05-20,0.891074,110.1125,0.689554,6.546513,0.002264395327
2016-05-21,0.891074,110.1469,0.689554,6.547007,0.002255162631
2016-05-22,0.891374,110.1943,0.689831,6.547487,0.00227652493
2016-05-23,0.891402,109.423101,0.690518,6.553711,0.002257290484
2016-05-24,0.897573,109.9272,0.683903,6.556021,0.002243495546
2016-05-25,0.89639,110.0764,0.680285,6.556137,0.002225937064
2016-05-26,0.893438,109.7998,0.681904,6.557342,0.002204653583
2016-05-27,0.899673,110.196501,0.683935,6.563141,0.002108076886
2016-05-28,0.899673,110.199201,0.683935,6.563832,0.001891632176
2016-05-29,0.899723,110.5796,0.684366,6.56561,0.001923546712
2016-05-30,0.897693,110.876001,0.683585,6.578507,0.001874632103
2016-05-31,0.898306,110.785,0.690143,6.583298,0.001873936541
2016-06-01,0.894038,109.8413,0.693793,6.578976,0.001867535693
2016-06-02,0.896741,109.0602,0.693701,6.584417,0.001848237521
2016-06-03,0.879809,107.0357,0.688891,6.56561,0.001756746786
2016-06-04,0.879809,106.8602,0.688891,6.565263,0.001747671228
2016-06-05,0.880178,106.674199,0.691152,6.563588,0.001736165366
2016-06-06,0.880554,107.3337,0.691999,6.56494,0.00171263669
2016-06-07,0.880604,107.2456,0.687857,6.571832,0.001734439906
2016-06-08,0.877204,107.035799,0.689124,6.566024,0.00171331451
2016-06-09,0.883622,107.0032,0.691446,6.563784,0.001731859636
2016-06-10,0.888707,106.9022,0.701358,6.562459,0.001730903376
2016-06-11,0.888707,106.9597,0.701358,6.562414,0.00169708983
2016-06-12,0.888807,106.801701,0.702975,6.562868,0.001466013411
2016-06-13,0.88577,106.2527,0.703859,6.581724,0.001426889737
2016-06-14,0.89219,106.077701,0.708665,6.594052,0.001459178745
2016-06-15,0.887801,105.8872,0.704392,6.583685,0.001441144384
2016-06-16,0.890228,104.7312,0.70368,6.5908,0.001293512131
2016-06-17,0.88682,104.2546,0.696445,6.584284,0.001343531634
2016-06-18,0.88682,104.1958,0.696445,6.584912,0.001325417937
2016-06-19,0.885093,104.5879,0.691204,6.57745,0.001310555872
2016-06-20,0.883703,103.969199,0.681114,6.58148,0.001368538905
2016-06-21,0.88837,104.651,0.681982,6.592638,0.001516383002
2016-06-22,0.882509,104.642,0.676263,6.577821,0.001658347291
2016-06-23,0.878304,105.9424,0.669428,6.580507,0.001600512164
2016-06-24,0.899972,102.825799,0.731488,6.59497,0.001509803152
2016-06-25,0.899972,102.393899,0.731488,6.602861,0.001491319773
2016-06-26,0.901722,102.1466,0.743452,6.594519,0.0015813902
2016-06-27,0.907656,102.0192,0.7563,6.642418,0.001544649643
2016-06-28,0.902988,102.476101,0.748678,6.646787,0.001546673183
2016-06-29,0.898898,102.7387,0.743363,6.638971,0.001567253185
2016-06-30,0.9009,103.0811,0.75188,6.648787,0.001490964013
2016-07-01,0.8978,102.5818,0.75343,6.653846,0.001469453731
2016-07-02,0.8978,102.5597,0.753338,6.656218,0.001427242055
2016-07-03,0.89805,102.598001,0.752785,6.65428,0.001507429366
2016-07-04,0.8969,102.539599,0.752878,6.660143,0.001474302176
2016-07-05,0.9036,101.8535,0.768423,6.675595,0.001497461055
2016-07-06,0.90105,101.337201,0.774705,6.687446,0.001480538324
2016-07-07,0.904,100.7827,0.77523,6.682543,0.001570724214
2016-07-08,0.9047,100.6318,0.772123,6.687958,0.001513702031
2016-07-09,0.9047,100.5655,0.772123,6.688531,0.001532820758
2016-07-10,0.905,100.6904,0.772845,6.68921,0.001541157378
2016-07-11,0.90395,102.2538,0.769668,6.69325,0.001542852735
2016-07-12,0.9038,104.168001,0.754655,6.693359,0.001485685421
2016-07-13,0.90095,104.1032,0.76209,6.686662,0.001506007615
2016-07-14,0.90015,105.0215,0.749475,6.683645,0.001507827218
2016-07-15,0.9061,104.8893,0.75832,6.688424,0.001501402869
2016-07-16,0.9061,105.0047,0.75832,6.688366,0.00150355111
2016-07-17,0.9042,105.435,0.75466,6.683117,0.001486837141
2016-07-18,0.90315,105.9284,0.753848,6.701411,0.00149142285
2016-07-19,0.9077,106.1191,0.762733,6.695002,0.001491238194
2016-07-20,0.90745,107.0259,0.75417,6.680247,0.001500015375
2016-07-21,0.9067,105.922,0.756083,6.676777,0.001500901833
2016-07-22,0.91085,106.164,0.761133,6.677937,0.001518635963
2016-07-23,0.91085,106.0515,0.761133,6.677655,0.001513037255
2016-07-24,0.9116,106.1968,0.760008,6.683736,0.001506792592
2016-07-25,0.90945,105.7828,0.761333,6.678466,0.001513715568
2016-07-26,0.91,105.1497,0.760668,6.673576,0.00151747031
2016-07-27,0.90345,105.0668,0.756018,6.670596,0.001513115281
2016-07-28,0.90225,104.9216,0.76016,6.658572,0.001512558965
2016-07-29,0.8949,102.6093,0.755895,6.641648,0.00151142789
2016-07-30,0.89475,102.36825,0.755895,6.639295,0.001527869874
2016-07-31,0.89525,102.2926,0.757013,6.639282,0.001596021438
2016-08-01,0.89555,102.3038,0.758543,6.643572,0.00167536444
